cbg,SVI_Texas,SVI_local,geometry
481130009021,0.9307692307692308,0.8959948320413437,"list(list(c(-96.779295, -96.778193, -96.778034, -96.774247, -96.7763, -96.778471, -96.779295, 32.80876, 32.80962, 32.811143, 32.807884, 32.806176, 32.808072, 32.80876)))"
481130096041,0.23569880823401945,0.21253229974160204,"list(list(c(-96.818827, -96.813455, -96.811249, -96.811621, -96.811603, -96.810532, -96.814644, -96.818827, 32.921478, 32.92257, 32.922589, 32.918771, 32.911189, 32.90956, 32.909585, 32.921478)))"
481130170101,0.882827735644637,0.8016795865633075,"list(list(c(-96.602337, -96.588607, -96.580894, -96.578747, -96.577445, -96.573162, -96.581042, -96.579825, -96.588365, -96.595371, -96.602337, 32.676346, 32.687701, 32.680953, 32.67763, 32.676462, 32.672732, 32.666499, 32.665725, 32.669781, 32.673065, 32.676346)))"
481130170091,0.8730227518959913,0.797157622739018,"list(list(c(-96.579447, -96.572439, -96.564794, -96.570203, -96.571549, -96.57598, -96.576867, -96.581717, -96.579447, 32.695146, 32.700873, 32.694419, 32.69039, 32.691285, 32.687645, 32.68901, 32.693264, 32.695146)))"
481130190282,0.7218851570964246,0.5813953488372092,"list(list(c(-96.682613, -96.682528, -96.675539, -96.673863, -96.67388, -96.682631, -96.682613, 32.953087, 32.960687, 32.960759, 32.960704, 32.951464, 32.951468, 32.953087)))"
481130181411,0.3600216684723727,0.32170542635658916,"list(list(c(-96.552204, -96.544377, -96.537668, -96.533715, -96.522661, -96.518402, -96.518513, -96.518547, -96.518656, -96.542676, -96.544882, -96.547642, -96.549087, -96.552204, 32.858421, 32.864579, 32.867998, 32.869756, 32.874512, 32.876468, 32.875957, 32.867224, 32.856686, 32.856427, 32.856182, 32.857897, 32.858668, 32.858421), c(-96.546369, -96.542796, -96.539535, -96.538853, -96.540358, -96.541692, -96.54516, -96.546369, 32.858493, 32.858224, 32.858564, 32.860318, 32.861621, 32.862826, 32.860591, 
32.858493)))"
481130181441,0.06874322860238358,0.07622739018087854,"list(list(c(-96.533588, -96.532977, -96.53233, -96.526522, -96.526393, -96.521323, -96.521205, -96.521193, -96.521243, -96.521379, -96.521639, -96.523098, -96.529666, -96.534469, -96.533588, 32.938167, 32.941851, 32.942608, 32.94634, 32.946013, 32.941251, 32.940803, 32.940626, 32.940188, 32.939825, 32.939465, 32.938174, 32.932823, 32.937038, 32.938167)))"
481130108081,0.8840736728060672,0.8049095607235142,"list(list(c(-96.908574, -96.900085, -96.90007, -96.90852, -96.908574, 32.72054, 32.720489, 32.713799, 32.713754, 32.72054)))"
481130190442,0.5971289274106175,0.50322997416020665,"list(list(c(-96.692114, -96.69206, -96.683068, -96.683209, -96.683189, -96.683179, -96.692611, -96.692114, 32.927926, 32.931189, 32.931078, 32.930495, 32.926904, 32.923887, 32.923951, 32.927926)))"
481130190262,0.5963163596966414,0.522609819121447,"list(list(c(-96.635063, -96.633129, -96.632677, -96.630081, -96.626319, -96.630783, -96.631221, -96.635515, -96.635063, 32.940258, 32.941813, 32.941437, 32.940776, 32.936933, 32.93345, 32.935305, 32.939359, 32.940258)))"
